Slot,Biomass 01,Biomass 02,Biomass 03,Biomass 04,Biomass 05,Biomass 06,Biomass 07,Biomass 08,Biomass 09,Biomass 10,Biomass 11,Biomass 12,Biomass 13,Biomass 14,Biomass 15,Biomass 16,Biomass 17,Biomass 18,Biomass 19,Biomass 20,Biomass 21,Biomass 22,Biomass 23,Biomass 24,Biomass 25,Biomass 26,Biomass 27,Biomass 28,Biomass 29,Biomass 30,Biomass 31,Biomass 32,Biomass 33,Biomass 34,Biomass 35,Biomass 36,Biomass 37,Biomass 38,Biomass 39,Biomass 40,Biomass 41,Biomass 42,Biomass 43,Biomass 44,Biomass 45,Biomass 46,Biomass 47,Biomass 48,Biomass 49,Biomass 50,Biomass 51,Biomass 52,Biomass 53,Biomass 54,Biomass 55,Biomass 56,Biomass 57,Biomass 58,Biomass 59,Biomass 60,Biomass 61,Biomass 62,CC NG 01,CC NG 03,CC NG 04,CC NG 05,CC NG 06,CC NG 07,CC NG 08,CC NG 09,CC NG 10,CC NG 11,CC NG 12,CC NG 13,CC NG 14,CC NG 15,CC NG 16,CC NG 17,CC NG 18,CC NG 19,CC NG 20,CC NG 21,CC NG 22,CC NG 23,CC NG 24,CC NG 25,CC NG 26,CC NG 27,CC NG 28,CC NG 29,CC NG 31,CC NG 32,CC NG 33,CC NG 34,CC NG 35,CC NG 36,CC NG 37,CC NG 38,CC NG 39,CC NG 40,CT NG 01,CT NG 02,CT NG 03,CT NG 04,CT NG 05,CT NG 06,CT NG 07,CT NG 08,CT NG 09,CT NG 10,CT NG 11,CT NG 12,CT NG 13,CT NG 14,CT NG 15,CT NG 16,CT NG 17,CT NG 18,CT NG 19,CT NG 20,CT NG 21,CT NG 22,CT NG 23,CT NG 24,CT NG 25,CT NG 26,CT NG 27,CT NG 28,CT NG 29,CT NG 30,CT NG 31,CT NG 32,CT NG 33,CT NG 34,CT NG 35,CT NG 36,CT NG 37,CT NG 38,CT NG 39,CT NG 40,CT NG 41,CT NG 42,CT NG 43,CT NG 44,CT NG 45,CT NG 46,CT NG 47,CT NG 48,CT NG 49,CT NG 50,CT NG 51,CT NG 52,CT NG 53,CT NG 54,CT NG 55,CT NG 56,CT NG 66,CT NG 67,CT NG 68,CT NG 69,CT NG 70,CT NG 71,CT NG 72,CT NG 73,CT NG 74,CT NG 75,CT Oil 01,CT Oil 02,CT Oil 03,CT Oil 04,CT Oil 05,Geo 01,Hydro 01,Hydro 02,Hydro 03,Hydro 04,Hydro 05,Hydro 06,Hydro 07,Hydro 08,Hydro 09,Hydro 10,Hydro 11,Hydro 12,Hydro 13,Hydro 14,Hydro 15,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 36,Hydro 37,Hydro 38,Hydro 39,Hydro 40,Hydro 41,Hydro 42,Hydro 43,ICE NG 01,ICE NG 02,ICE NG 03,ICE NG 04,ICE NG 05,ICE NG 06,ICE NG 07,ST Coal 01,ST NG 01,ST NG 02,ST NG 03,ST NG 04,ST NG 05,ST NG 06,ST NG 07,ST NG 08,ST NG 09,ST NG 10,ST Other 01,ST Other 02,Solar 01,Solar 02,Solar 03,Solar 04,Solar 05,Solar 06,Solar 07,Solar 08,Solar 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17
1,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.200005,0.200005,0.200005,0.200005,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,306.048,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,681.2554763,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,2.99988,2.99988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.3,104.3,104.3,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17696,0.29862,1.02858,2.9425,0.79587,0.79587,0.79587,0,0,8.6268,8.6268,8.6268,0,0,0.02212,0.106176,6.00666,6.00666,0.053088,0.51,2.23,0,0,1.9435,2.425893,2.425893,4.1067,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,221.6533333,165.0289442,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.645988728,14.75189907,2.015322516,0.513508961,0.809196755,3.284976188,4.741794005,12.5458391,11.67823629,11.75139681,6.068488563,12.98932876,6.098760101,8.043065785,7.507036751,2.04996112,10.19038916
2,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.183337917,0.183337917,0.183337917,0.183337917,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,280.544,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,681.8425199,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,2.74989,2.74989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.60833333,95.60833333,95.60833333,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176433333,0.29773125,1.02551875,2.936083333,1.8743575,1.8743575,1.8743575,0,0,8.601125,8.601125,8.601125,0,0,0.022054167,0.10586,5.81027,5.81027,0.05293,0.51,2.23,0,0,1.8322375,2.437615417,2.437615417,3.8715975,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,220.5071466,151.2765322,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.681354468,14.88723035,2.04634709,0.526380497,0.81323016,3.317256303,4.792312396,12.60849917,11.73768998,11.81152095,6.115309169,13.11688617,6.13895791,8.048339812,7.503486228,2.015242096,10.14127273
3,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.166670833,0.166670833,0.166670833,0.166670833,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,255.04,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,682.4295636,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,2.4999,2.4999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.91666667,86.91666667,86.91666667,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175906667,0.2968425,1.0224575,2.929666667,2.952845,2.952845,2.952845,0,0,8.57545,8.57545,8.57545,0,0,0.021988333,0.105544,5.61388,5.61388,0.052772,0.51,2.23,0,0,1.720975,2.449337833,2.449337833,3.636495,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,219.3609598,137.5241202,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.716720208,15.02256163,2.077371664,0.539252033,0.817263566,3.349536417,4.842830786,12.67115923,11.79714366,11.87164508,6.162129776,13.24444359,6.17915572,8.05361384,7.499935705,1.980523072,10.09215631
4,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.15000375,0.15000375,0.15000375,0.15000375,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,229.536,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,683.0166072,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,2.24991,2.24991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.225,78.225,78.225,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17538,0.29595375,1.01939625,2.92325,4.0313325,4.0313325,4.0313325,0,0,8.549775,8.549775,8.549775,0,0,0.0219225,0.105228,5.41749,5.41749,0.052614,0.51,2.23,0,0,1.6097125,2.46106025,2.46106025,3.4013925,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,218.2147731,123.7717082,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.752085948,15.15789291,2.108396238,0.552123569,0.821296971,3.381816532,4.893349177,12.7338193,11.85659735,11.93176922,6.208950382,13.372001,6.219353529,8.058887867,7.496385182,1.945804048,10.04303988
5,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.133336667,0.133336667,0.133336667,0.133336667,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,204.032,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,683.6036509,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,1.99992,1.99992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.53333333,69.53333333,69.53333333,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174853333,0.295065,1.016335,2.916833333,5.10982,5.10982,5.10982,0,0,8.5241,8.5241,8.5241,0,0,0.021856667,0.104912,5.2211,5.2211,0.052456,0.51,2.23,0,0,1.49845,2.472782667,2.472782667,3.16629,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,217.0685864,110.0192962,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.787451688,15.29322419,2.139420812,0.564995105,0.825330376,3.414096647,4.943867567,12.79647937,11.91605104,11.99189336,6.255770989,13.49955841,6.259551338,8.064161894,7.492834659,1.911085024,9.993923456
6,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.116669583,0.116669583,0.116669583,0.116669583,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,178.528,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,684.1906945,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,1.74993,1.74993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.84166667,60.84166667,60.84166667,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174326667,0.29417625,1.01327375,2.910416667,6.1883075,6.1883075,6.1883075,0,0,8.498425,8.498425,8.498425,0,0,0.021790833,0.104596,5.02471,5.02471,0.052298,0.51,2.23,0,0,1.3871875,2.484505083,2.484505083,2.9311875,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,215.9223997,96.26688413,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.822817428,15.42855546,2.170445385,0.57786664,0.829363782,3.446376761,4.994385958,12.85913943,11.97550472,12.05201749,6.302591595,13.62711583,6.299749148,8.069435922,7.489284136,1.876366001,9.944807031
7,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.1000025,0.1000025,0.1000025,0.1000025,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,153.024,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,684.7777382,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,1.49994,1.49994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.15,52.15,52.15,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1738,0.2932875,1.0102125,2.904,7.266795,7.266795,7.266795,0,0,8.47275,8.47275,8.47275,0,0,0.021725,0.10428,4.82832,4.82832,0.05214,0.51,2.23,0,0,1.275925,2.4962275,2.4962275,2.696085,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,214.776213,82.5144721,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.858183168,15.56388674,2.201469959,0.590738176,0.833397187,3.478656876,5.044904348,12.9217995,12.03495841,12.11214163,6.349412202,13.75467324,6.339946957,8.074709949,7.485733613,1.841646977,9.895690607
8,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.083335417,0.083335417,0.083335417,0.083335417,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,127.52,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,685.3647818,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,1.24995,1.24995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.45833333,43.45833333,43.45833333,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173273333,0.29239875,1.00715125,2.897583333,8.3452825,8.3452825,8.3452825,0,0,8.447075,8.447075,8.447075,0,0,0.021659167,0.103964,4.63193,4.63193,0.051982,0.51,2.23,0,0,1.1646625,2.507949917,2.507949917,2.4609825,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,213.6300263,68.76206008,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.893548908,15.69921802,2.232494533,0.603609712,0.837430592,3.51093699,5.095422739,12.98445956,12.09441209,12.17226576,6.396232808,13.88223065,6.380144766,8.079983976,7.48218309,1.806927953,9.846574182
9,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.066668333,0.066668333,0.066668333,0.066668333,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,102.016,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,685.9518255,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0.99996,0.99996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.76666667,34.76666667,34.76666667,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172746667,0.29151,1.00409,2.891166667,9.42377,9.42377,9.42377,0,0,8.4214,8.4214,8.4214,0,0,0.021593333,0.103648,4.43554,4.43554,0.051824,0.51,2.23,0,0,1.0534,2.519672333,2.519672333,2.22588,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,212.4838395,55.00964807,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.928914648,15.8345493,2.263519107,0.616481248,0.841463998,3.543217105,5.145941129,13.04711963,12.15386578,12.2323899,6.443053415,14.00978807,6.420342575,8.085258004,7.478632566,1.772208929,9.797457756
10,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.05000125,0.05000125,0.05000125,0.05000125,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,76.512,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,686.5388691,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0.74997,0.74997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.075,26.075,26.075,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17222,0.29062125,1.00102875,2.88475,10.5022575,10.5022575,10.5022575,0,0,8.395725,8.395725,8.395725,0,0,0.0215275,0.103332,4.23915,4.23915,0.051666,0.51,2.23,0,0,0.9421375,2.53139475,2.53139475,1.9907775,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,211.3376528,41.25723605,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.964280388,15.96988058,2.294543681,0.629352784,0.845497403,3.575497219,5.19645952,13.10977969,12.21331946,12.29251403,6.489874021,14.13734548,6.460540384,8.090532031,7.475082043,1.737489905,9.748341331
