Slot,Bus1,Bus2,Bus3,Bus4,Bus6,Bus7,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20,Bus21,Bus22,Bus23,Bus27,Bus28,Bus29,Bus31,Bus32,Bus70,Bus74,Bus75,Bus114,Bus115,Bus117,Bus33,Bus34,Bus35,Bus36,Bus39,Bus40,Bus41,Bus42,Bus43,Bus44,Bus45,Bus46,Bus47,Bus48,Bus49,Bus50,Bus51,Bus52,Bus53,Bus54,Bus55,Bus56,Bus57,Bus58,Bus59,Bus60,Bus62,Bus66,Bus67,Bus76,Bus77,Bus78,Bus79,Bus80,Bus97,Bus98,Bus118,Bus82,Bus83,Bus84,Bus85,Bus86,Bus88,Bus90,Bus92,Bus93,Bus94,Bus95,Bus96,Bus100,Bus101,Bus102,Bus103,Bus104,Bus105,Bus106,Bus107,Bus108,Bus109,Bus110,Bus112,LOAD
1,248.7714,97.5511,190.2316,146.3496,253.6421,92.6805,341.4519,229.2428,165.8323,68.2812,439.003,121.9504,52.3634,292.6533,219.5015,87.8098,68.2812,48.7985,34.1406,302.4406,82.9391,117.0797,209.7602,287.7827,303.2677,312.4576,215.9634,39.0113,107.2924,97.5511,24.8412,63.7102,35.6342,33.4776,27.4657,20.1281,37.6382,37.6382,18.3105,16.276,53.9141,28.4829,34.5864,20.345,88.5005,17.2932,17.2932,18.3105,23.3967,114.949,64.0866,85.4488,12.207,12.207,281.7775,79.3453,78.3281,39.6727,28.4829,69.1728,62.0521,72.2246,39.6727,132.2422,15.2587,34.5864,33.5692,196.5038,72.7792,40.0286,87.335,76.4182,174.6701,283.8389,236.5324,43.6675,109.1688,152.8363,138.2805,134.6415,80.0571,18.1948,83.6961,138.2805,112.8078,156.4753,100.5356,7.2779,29.1117,141.9194,90.974,9852.639
2,248.0149917,97.25449167,189.6531833,145.9046167,252.8708833,92.39869167,340.4136833,228.545775,165.328075,68.07358333,437.668175,121.5796,52.20419167,291.7634667,218.8340917,87.54280833,68.07358333,48.650125,34.03679167,301.5210083,82.68691667,116.7237083,209.1224083,286.907675,302.3455917,311.50755,215.3067417,38.89268333,106.966175,97.25449167,24.741425,63.4543,35.491075,33.34313333,27.35538333,20.04725,37.48701667,37.48701667,18.23695,16.210625,53.69755,28.3685,34.44748333,20.263275,88.14503333,17.22374167,17.22374167,18.23695,23.302725,114.4873,63.82919167,85.10559167,12.15796667,12.15796667,280.645725,79.0266,78.01348333,39.51335,28.3685,68.89496667,61.80286667,71.9345,39.51335,131.7110417,15.19741667,34.44748333,33.43436667,193.5847583,71.698075,39.433975,86.03765,75.28301667,172.0753917,279.6225083,233.0187417,43.018825,107.5471083,150.5659333,136.2263583,132.6414167,78.86786667,17.92451667,82.4528,136.2263583,111.13205,154.150875,99.04215,7.169791667,28.67925,139.8112083,89.62259167,9788.883817
3,247.2585833,96.95788333,189.0747667,145.4596333,252.0996667,92.11688333,339.3754667,227.84875,164.82385,67.86596667,436.33335,121.2088,52.04498333,290.8736333,218.1666833,87.27581667,67.86596667,48.50175,33.93298333,300.6014167,82.43473333,116.3677167,208.4846167,286.03265,301.4234833,310.5575,214.6500833,38.77406667,106.63995,96.95788333,24.64165,63.1984,35.34795,33.20866667,27.24506667,19.9664,37.33583333,37.33583333,18.1634,16.14525,53.481,28.2541,34.30856667,20.18155,87.78956667,17.15428333,17.15428333,18.1634,23.20875,114.0256,63.57178333,84.76238333,12.10893333,12.10893333,279.51395,78.7079,77.69886667,39.354,28.2541,68.61713333,61.55363333,71.6444,39.354,131.1798833,15.13613333,34.30856667,33.29953333,190.6657167,70.61695,38.83935,84.7403,74.14783333,169.4806833,275.4061167,229.5050833,42.37015,105.9254167,148.2955667,134.1722167,130.6413333,77.67863333,17.65423333,81.2095,134.1722167,109.4563,151.82645,97.5487,7.061683333,28.2468,137.7030167,88.27118333,9725.128633
4,246.502175,96.661275,188.49635,145.01465,251.32845,91.835075,338.33725,227.151725,164.319625,67.65835,434.998525,120.838,51.885775,289.9838,217.499275,87.008825,67.65835,48.353375,33.829175,299.681825,82.18255,116.011725,207.846825,285.157625,300.501375,309.60745,213.993425,38.65545,106.313725,96.661275,24.541875,62.9425,35.204825,33.0742,27.13475,19.88555,37.18465,37.18465,18.08985,16.079875,53.26445,28.1397,34.16965,20.099825,87.4341,17.084825,17.084825,18.08985,23.114775,113.5639,63.314375,84.419175,12.0599,12.0599,278.382175,78.3892,77.38425,39.19465,28.1397,68.3393,61.3044,71.3543,39.19465,130.648725,15.07485,34.16965,33.1647,187.746675,69.535825,38.244725,83.44295,73.01265,166.885975,271.189725,225.991425,41.721475,104.303725,146.0252,132.118075,128.64125,76.4894,17.38395,79.9662,132.118075,107.78055,149.502025,96.05525,6.953575,27.81435,135.594825,86.919775,9661.37345
5,245.7457667,96.36466667,187.9179333,144.5696667,250.5572333,91.55326667,337.2990333,226.4547,163.8154,67.45073333,433.6637,120.4672,51.72656667,289.0939667,216.8318667,86.74183333,67.45073333,48.205,33.72536667,298.7622333,81.93036667,115.6557333,207.2090333,284.2826,299.5792667,308.6574,213.3367667,38.53683333,105.9875,96.36466667,24.4421,62.6866,35.0617,32.93973333,27.02443333,19.8047,37.03346667,37.03346667,18.0163,16.0145,53.0479,28.0253,34.03073333,20.0181,87.07863333,17.01536667,17.01536667,18.0163,23.0208,113.1022,63.05696667,84.07596667,12.01086667,12.01086667,277.2504,78.0705,77.06963333,39.0353,28.0253,68.06146667,61.05516667,71.0642,39.0353,130.1175667,15.01356667,34.03073333,33.02986667,184.8276333,68.4547,37.6501,82.1456,71.87746667,164.2912667,266.9733333,222.4777667,41.0728,102.6820333,143.7548333,130.0639333,126.6411667,75.30016667,17.11366667,78.7229,130.0639333,106.1048,147.1776,94.5618,6.845466667,27.3819,133.4866333,85.56836667,9597.618267
6,244.9893583,96.06805833,187.3395167,144.1246833,249.7860167,91.27145833,336.2608167,225.757675,163.311175,67.24311667,432.328875,120.0964,51.56735833,288.2041333,216.1644583,86.47484167,67.24311667,48.056625,33.62155833,297.8426417,81.67818333,115.2997417,206.5712417,283.407575,298.6571583,307.70735,212.6801083,38.41821667,105.661275,96.06805833,24.342325,62.4307,34.918575,32.80526667,26.91411667,19.72385,36.88228333,36.88228333,17.94275,15.949125,52.83135,27.9109,33.89181667,19.936375,86.72316667,16.94590833,16.94590833,17.94275,22.926825,112.6405,62.79955833,83.73275833,11.96183333,11.96183333,276.118625,77.7518,76.75501667,38.87595,27.9109,67.78363333,60.80593333,70.7741,38.87595,129.5864083,14.95228333,33.89181667,32.89503333,181.9085917,67.373575,37.055475,80.84825,70.74228333,161.6965583,262.7569417,218.9641083,40.424125,101.0603417,141.4844667,128.0097917,124.6410833,74.11093333,16.84338333,77.4796,128.0097917,104.42905,144.853175,93.06835,6.737358333,26.94945,131.3784417,84.21695833,9533.863083
7,244.23295,95.77145,186.7611,143.6797,249.0148,90.98965,335.2226,225.06065,162.80695,67.0355,430.99405,119.7256,51.40815,287.3143,215.49705,86.20785,67.0355,47.90825,33.51775,296.92305,81.426,114.94375,205.93345,282.53255,297.73505,306.7573,212.02345,38.2996,105.33505,95.77145,24.24255,62.1748,34.77545,32.6708,26.8038,19.643,36.7311,36.7311,17.8692,15.88375,52.6148,27.7965,33.7529,19.85465,86.3677,16.87645,16.87645,17.8692,22.83285,112.1788,62.54215,83.38955,11.9128,11.9128,274.98685,77.4331,76.4404,38.7166,27.7965,67.5058,60.5567,70.484,38.7166,129.05525,14.891,33.7529,32.7602,178.98955,66.29245,36.46085,79.5509,69.6071,159.10185,258.54055,215.45045,39.77545,99.43865,139.2141,125.95565,122.641,72.9217,16.5731,76.2363,125.95565,102.7533,142.52875,91.5749,6.62925,26.517,129.27025,82.86555,9470.1079
8,243.4765417,95.47484167,186.1826833,143.2347167,248.2435833,90.70784167,334.1843833,224.363625,162.302725,66.82788333,429.659225,119.3548,51.24894167,286.4244667,214.8296417,85.94085833,66.82788333,47.759875,33.41394167,296.0034583,81.17381667,114.5877583,205.2956583,281.657525,296.8129417,305.80725,211.3667917,38.18098333,105.008825,95.47484167,24.142775,61.9189,34.632325,32.53633333,26.69348333,19.56215,36.57991667,36.57991667,17.79565,15.818375,52.39825,27.6821,33.61398333,19.772925,86.01223333,16.80699167,16.80699167,17.79565,22.738875,111.7171,62.28474167,83.04634167,11.86376667,11.86376667,273.855075,77.1144,76.12578333,38.55725,27.6821,67.22796667,60.30746667,70.1939,38.55725,128.5240917,14.82971667,33.61398333,32.62536667,176.0705083,65.211325,35.866225,78.25355,68.47191667,156.5071417,254.3241583,211.9367917,39.126775,97.81695833,136.9437333,123.9015083,120.6409167,71.73246667,16.30281667,74.993,123.9015083,101.07755,140.204325,90.08145,6.521141667,26.08455,127.1620583,81.51414167,9406.352717
9,242.7201333,95.17823333,185.6042667,142.7897333,247.4723667,90.42603333,333.1461667,223.6666,161.7985,66.62026667,428.3244,118.984,51.08973333,285.5346333,214.1622333,85.67386667,66.62026667,47.6115,33.31013333,295.0838667,80.92163333,114.2317667,204.6578667,280.7825,295.8908333,304.8572,210.7101333,38.06236667,104.6826,95.17823333,24.043,61.663,34.4892,32.40186667,26.58316667,19.4813,36.42873333,36.42873333,17.7221,15.753,52.1817,27.5677,33.47506667,19.6912,85.65676667,16.73753333,16.73753333,17.7221,22.6449,111.2554,62.02733333,82.70313333,11.81473333,11.81473333,272.7233,76.7957,75.81116667,38.3979,27.5677,66.95013333,60.05823333,69.9038,38.3979,127.9929333,14.76843333,33.47506667,32.49053333,173.1514667,64.1302,35.2716,76.9562,67.33673333,153.9124333,250.1077667,208.4231333,38.4781,96.19526667,134.6733667,121.8473667,118.6408333,70.54323333,16.03253333,73.7497,121.8473667,99.4018,137.8799,88.588,6.413033333,25.6521,125.0538667,80.16273333,9342.597533
10,241.963725,94.881625,185.02585,142.34475,246.70115,90.144225,332.10795,222.969575,161.294275,66.41265,426.989575,118.6132,50.930525,284.6448,213.494825,85.406875,66.41265,47.463125,33.206325,294.164275,80.66945,113.875775,204.020075,279.907475,294.968725,303.90715,210.053475,37.94375,104.356375,94.881625,23.943225,61.4071,34.346075,32.2674,26.47285,19.40045,36.27755,36.27755,17.64855,15.687625,51.96515,27.4533,33.33615,19.609475,85.3013,16.668075,16.668075,17.64855,22.550925,110.7937,61.769925,82.359925,11.7657,11.7657,271.591525,76.477,75.49655,38.23855,27.4533,66.6723,59.809,69.6137,38.23855,127.461775,14.70715,33.33615,32.3557,170.232425,63.049075,34.676975,75.65885,66.20155,151.317725,245.891375,204.909475,37.829425,94.573575,132.403,119.793225,116.64075,69.354,15.76225,72.5064,119.793225,97.72605,135.555475,87.09455,6.304925,25.21965,122.945675,78.811325,9278.84235
