Slot,Biomass 01,Biomass 02,Biomass 03,Biomass 04,Biomass 05,Biomass 06,Biomass 07,Biomass 08,Biomass 09,Biomass 10,Biomass 11,Biomass 12,Biomass 13,Biomass 14,Biomass 15,Biomass 16,Biomass 17,Biomass 18,Biomass 19,Biomass 20,Biomass 21,Biomass 22,Biomass 23,Biomass 24,Biomass 25,Biomass 26,Biomass 27,Biomass 28,Biomass 29,Biomass 30,Biomass 31,Biomass 32,Biomass 33,Biomass 34,Biomass 35,Biomass 36,Biomass 37,Biomass 38,Biomass 39,Biomass 40,Biomass 41,Biomass 42,Biomass 43,Biomass 44,Biomass 45,Biomass 46,Biomass 47,Biomass 48,Biomass 49,Biomass 50,Biomass 51,Biomass 52,Biomass 53,Biomass 54,Biomass 55,Biomass 56,Biomass 57,Biomass 58,Biomass 59,Biomass 60,Biomass 61,Biomass 62,CC NG 01,CC NG 03,CC NG 04,CC NG 05,CC NG 06,CC NG 07,CC NG 08,CC NG 09,CC NG 10,CC NG 11,CC NG 12,CC NG 13,CC NG 14,CC NG 15,CC NG 16,CC NG 17,CC NG 18,CC NG 19,CC NG 20,CC NG 21,CC NG 22,CC NG 23,CC NG 24,CC NG 25,CC NG 26,CC NG 27,CC NG 28,CC NG 29,CC NG 31,CC NG 32,CC NG 33,CC NG 34,CC NG 35,CC NG 36,CC NG 37,CC NG 38,CC NG 39,CC NG 40,CT NG 01,CT NG 02,CT NG 03,CT NG 04,CT NG 05,CT NG 06,CT NG 07,CT NG 08,CT NG 09,CT NG 10,CT NG 11,CT NG 12,CT NG 13,CT NG 14,CT NG 15,CT NG 16,CT NG 17,CT NG 18,CT NG 19,CT NG 20,CT NG 21,CT NG 22,CT NG 23,CT NG 24,CT NG 25,CT NG 26,CT NG 27,CT NG 28,CT NG 29,CT NG 30,CT NG 31,CT NG 32,CT NG 33,CT NG 34,CT NG 35,CT NG 36,CT NG 37,CT NG 38,CT NG 39,CT NG 40,CT NG 41,CT NG 42,CT NG 43,CT NG 44,CT NG 45,CT NG 46,CT NG 47,CT NG 48,CT NG 49,CT NG 50,CT NG 51,CT NG 52,CT NG 53,CT NG 54,CT NG 55,CT NG 56,CT NG 66,CT NG 67,CT NG 68,CT NG 69,CT NG 70,CT NG 71,CT NG 72,CT NG 73,CT NG 74,CT NG 75,CT Oil 01,CT Oil 02,CT Oil 03,CT Oil 04,CT Oil 05,Geo 01,Hydro 01,Hydro 02,Hydro 03,Hydro 04,Hydro 05,Hydro 06,Hydro 07,Hydro 08,Hydro 09,Hydro 10,Hydro 11,Hydro 12,Hydro 13,Hydro 14,Hydro 15,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 36,Hydro 37,Hydro 38,Hydro 39,Hydro 40,Hydro 41,Hydro 42,Hydro 43,ICE NG 01,ICE NG 02,ICE NG 03,ICE NG 04,ICE NG 05,ICE NG 06,ICE NG 07,ST Coal 01,ST NG 01,ST NG 02,ST NG 03,ST NG 04,ST NG 05,ST NG 06,ST NG 07,ST NG 08,ST NG 09,ST NG 10,ST Other 01,ST Other 02,Solar 01,Solar 02,Solar 03,Solar 04,Solar 05,Solar 06,Solar 07,Solar 08,Solar 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17
1,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.200005,0.200005,0.200005,0.200005,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,306.048,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,681.2554763,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,2.99988,2.99988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.3,104.3,104.3,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17696,0.29862,1.02858,2.9425,0.79587,0.79587,0.79587,0,0,8.6268,8.6268,8.6268,0,0,0.02212,0.106176,6.00666,6.00666,0.053088,0.51,2.23,0,0,1.9435,2.425893,2.425893,4.1067,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,221.6533333,165.0289442,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.645988728,14.75189907,2.015322516,0.513508961,0.809196755,3.284976188,4.741794005,12.5458391,11.67823629,11.75139681,6.068488563,12.98932876,6.098760101,8.043065785,7.507036751,2.04996112,10.19038916
2,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.15000375,0.15000375,0.15000375,0.15000375,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,229.536,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,683.0166072,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,2.24991,2.24991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.225,78.225,78.225,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17538,0.29595375,1.01939625,2.92325,4.0313325,4.0313325,4.0313325,0,0,8.549775,8.549775,8.549775,0,0,0.0219225,0.105228,5.41749,5.41749,0.052614,0.51,2.23,0,0,1.6097125,2.46106025,2.46106025,3.4013925,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,218.2147731,123.7717082,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.752085948,15.15789291,2.108396238,0.552123569,0.821296971,3.381816532,4.893349177,12.7338193,11.85659735,11.93176922,6.208950382,13.372001,6.219353529,8.058887867,7.496385182,1.945804048,10.04303988
3,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.1000025,0.1000025,0.1000025,0.1000025,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,153.024,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,684.7777382,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,1.49994,1.49994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.15,52.15,52.15,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1738,0.2932875,1.0102125,2.904,7.266795,7.266795,7.266795,0,0,8.47275,8.47275,8.47275,0,0,0.021725,0.10428,4.82832,4.82832,0.05214,0.51,2.23,0,0,1.275925,2.4962275,2.4962275,2.696085,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,214.776213,82.5144721,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.858183168,15.56388674,2.201469959,0.590738176,0.833397187,3.478656876,5.044904348,12.9217995,12.03495841,12.11214163,6.349412202,13.75467324,6.339946957,8.074709949,7.485733613,1.841646977,9.895690607
4,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0.05000125,0.05000125,0.05000125,0.05000125,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,76.512,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,686.5388691,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0.74997,0.74997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.075,26.075,26.075,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17222,0.29062125,1.00102875,2.88475,10.5022575,10.5022575,10.5022575,0,0,8.395725,8.395725,8.395725,0,0,0.0215275,0.103332,4.23915,4.23915,0.051666,0.51,2.23,0,0,0.9421375,2.53139475,2.53139475,1.9907775,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,211.3376528,41.25723605,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.964280388,15.96988058,2.294543681,0.629352784,0.845497403,3.575497219,5.19645952,13.10977969,12.21331946,12.29251403,6.489874021,14.13734548,6.460540384,8.090532031,7.475082043,1.737489905,9.748341331
5,1.05,1.05,0,0,0.45006,0.45006,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0,0,0,0,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,688.3,570.01,651.968,636,77.49386267,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17064,0.287955,0.991845,2.8655,13.73772,13.73772,13.73772,0,0,8.3187,8.3187,8.3187,0,0,0.02133,0.102384,3.64998,3.64998,0.051192,0.51,2.23,0,0,0.60835,2.566562,2.566562,1.28547,0,8.20008,8.20008,8.20008,8.20008,8.20008,8.20008,15.94,207.8990926,0,492.8539947,0,0,0,8.799714,0,0,0,0.01012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.070377608,16.37587441,2.387617402,0.667967391,0.857597619,3.672337563,5.348014691,13.29775989,12.39168052,12.47288644,6.63033584,14.52001772,6.581133812,8.106354113,7.464430474,1.633332833,9.600992054
6,0.7875,0.7875,0,0,0.337545,0.337545,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0,0,0,0,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,669.2688621,567.6675506,651.968,636,58.120397,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17082,0.28825875,0.99289125,2.22475,12.2051325,12.2051325,12.2051325,0,0,8.327475,8.327475,8.327475,0,0,0.0213525,0.102492,3.70267,3.70267,0.051246,0.51,2.23,0,0,0.4786875,2.5721715,2.5721715,1.0114875,0,6.15006,6.15006,6.15006,6.15006,6.15006,6.15006,15.94,168.8888964,0,474.5918276,0,0,0,6.5997855,0,0,0,0.01012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.158863422,16.77073124,2.46407957,0.701396848,0.867301562,3.728826319,5.482124636,13.44867323,12.53487946,12.62004858,6.764498736,14.7361297,6.664912303,8.129775312,7.454696782,1.598249361,9.454983459
7,0.525,0.525,0,0,0.22503,0.22503,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0,0,0,0,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,650.2377241,565.3251011,651.968,636,38.74693134,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.2885625,0.9939375,1.584,10.672545,10.672545,10.672545,0,0,8.33625,8.33625,8.33625,0,0,0.021375,0.1026,3.75536,3.75536,0.0513,0.51,2.23,0,0,0.349025,2.577781,2.577781,0.737505,0,4.10004,4.10004,4.10004,4.10004,4.10004,4.10004,15.94,129.8787003,0,456.3296605,0,0,0,4.399857,0,0,0,0.01012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.247349237,17.16558806,2.540541737,0.734826305,0.877005506,3.785315074,5.616234582,13.59958657,12.67807841,12.76721071,6.898661633,14.95224169,6.748690795,8.153196511,7.444963091,1.563165889,9.308974864
8,0.2625,0.2625,0,0,0.112515,0.112515,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0,0,0,0,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,631.2065862,562.9826517,651.968,636,19.37346567,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17118,0.28886625,0.99498375,0.94325,9.1399575,9.1399575,9.1399575,0,0,8.345025,8.345025,8.345025,0,0,0.0213975,0.102708,3.80805,3.80805,0.051354,0.51,2.23,0,0,0.2193625,2.5833905,2.5833905,0.4635225,0,2.05002,2.05002,2.05002,2.05002,2.05002,2.05002,15.94,90.86850408,0,438.0674933,0,0,0,2.1999285,0,0,0,0.01012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.335835051,17.56044489,2.617003905,0.768255762,0.886709449,3.84180383,5.750344527,13.75049991,12.82127735,12.91437285,7.032824529,15.16835367,6.832469286,8.176617709,7.435229399,1.528082417,9.162966268
9,0,0,0,0,0,0,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0,0,0,0,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.5,0,543.0444622,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,612.1754482,560.6402022,651.968,636,0,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17136,0.28917,0.99603,0.3025,7.60737,7.60737,7.60737,0,0,8.3538,8.3538,8.3538,0,0,0.02142,0.102816,3.86074,3.86074,0.051408,0.51,2.23,0,0,0.0897,2.589,2.589,0.18954,0,0,0,0,0,0,0,15.94,51.85830791,0,419.8053262,0,0,0,0,0,0,0,0.01012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.424320865,17.95530171,2.693466072,0.801685219,0.896413392,3.898292585,5.884454472,13.90141325,12.96447629,13.06153498,7.166987425,15.38446565,6.916247777,8.200038908,7.425495707,1.492998945,9.016957673
10,0,0,0,0,0,0,2.0001,0.78003,0.78003,0.78003,0.379992,0.379992,0.379992,0.83995,0,0,0,0,0.36999,0,0.36999,0.36999,0.45,0.45,0,1.69005,1.69005,0,1.69005,1.69005,1.69005,1.20004,1.6,1.6,1.6,1.6,0.80997,0.80997,0.80997,0.80997,0.90992,0.90992,2.85,1.160114,1.160114,0.60996,2.3499,2.3499,0,0,0,1.7199,2.49,2.49,2.49,2.54978,2.0301,2.0301,4.6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943.5,0,533.55002,140,0,0,677.8,636,623.82717,0,655,0,0,0,321.99685,0,0,611.7499195,560.6402022,651.968,636,0,0,751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17172,0.2897775,0.9981225,0.3025,7.5697275,7.5697275,7.5697275,0,0,8.37135,8.37135,8.37135,0,0,0.021465,0.103032,3.887085,3.887085,0.051516,0.51,2.23,0,0,0.0940125,2.594178,2.594178,0.1986525,0,0,0,0,0,0,0,15.94,45.13373093,0,368.8310436,0,0,0,0,0,0,0,0.01012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.473997559,18.31229454,2.766105696,0.836282503,0.903928683,3.949273489,5.970670304,14.01993178,13.08025995,13.17966112,7.27887201,15.5035899,7.010043598,8.210920784,7.407228258,1.466958382,8.898568312
