,1,2,3,4,5
ng12,14.848169214549287,0.0,0.0,0.0,0.0
ng13,14.848169214549287,0.0,0.0,0.0,0.0
ng14,20.623156279961645,0.0,0.0,0.0,0.0
ng15,20.623156279961645,0.0,0.0,0.0,0.0
ng16,20.623156279961645,0.0,0.0,0.0,0.0
ng17,16.27529242569511,0.0,0.0,0.0,0.0
ng19,163.67865306122448,0.0,0.0,0.0,0.0
ng20,439.1708571428572,0.0,0.0,0.0,0.0
ng25,16.009567477135846,0.0,0.0,0.0,0.0
ng26,16.009567477135846,0.0,0.0,0.0,0.0
ng27,16.009567477135846,0.0,0.0,0.0,0.0
ng28,16.009567477135846,0.0,0.0,0.0,0.0
ng29,16.009567477135846,0.0,0.0,0.0,0.0
ng30,16.009567477135846,0.0,0.0,0.0,0.0
ng31,20.041746447270008,0.0,0.0,0.0,0.0
ng32,20.041746447270008,0.0,0.0,0.0,0.0
ng33,20.041746447270008,0.0,0.0,0.0,0.0
ng34,15.01145051109449,0.0,0.0,0.0,0.0
ng40,23.25313366878145,0.0,0.0,0.0,0.0
ng41,23.25313366878145,0.0,0.0,0.0,0.0
ng42,23.25313366878145,0.0,0.0,0.0,0.0
ng45,20.846191839533684,0.0,0.0,0.0,0.0
ng46,16.108408159766867,0.0,0.0,0.0,0.0
coal48,64.92514285714286,0.0,0.0,0.0,0.0
coal49,11.471373015873016,0.0,0.0,0.0,0.0
ng55,52.461571428571425,0.0,0.0,0.0,0.0
ng56,52.461571428571425,0.0,0.0,0.0,0.0
ng57,31.126,0.0,0.0,0.0,0.0
ng63,23.369850968464863,0.0,0.0,0.0,0.0
ng64,23.369850968464863,0.0,0.0,0.0,0.0
ng65,23.369850968464863,0.0,0.0,0.0,0.0
ng66,15.69466723377929,0.0,0.0,0.0,0.0
ng67,15.69466723377929,0.0,0.0,0.0,0.0
ng68,15.69466723377929,0.0,0.0,0.0,0.0
ng69,15.69466723377929,0.0,0.0,0.0,0.0
ng70,15.69466723377929,0.0,0.0,0.0,0.0
ng71,15.69466723377929,0.0,0.0,0.0,0.0
ng80,672.109087912088,0.0,0.0,0.0,0.0
ng81,22.852156279961644,0.0,0.0,0.0,0.0
ng82,17.49786385426654,0.0,0.0,0.0,0.0
ng114,29.757866332497915,0.0,0.0,0.0,0.0
ng115,29.757866332497915,0.0,0.0,0.0,0.0
ng116,29.757866332497915,0.0,0.0,0.0,0.0
