,BR_ID,F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
0,br0,bus1001,bus1064,0.00524,0.0358,0.00609,221,0,0,0,0,1,0,0,67.47,10.9,-67.21,-9.73,0,0,0,0
1,br1,bus1001,bus1064,0.00524,0.0358,0.00609,221,0,0,0,0,1,0,0,67.47,10.9,-67.21,-9.73,0,0,0,0
2,br2,bus1001,bus1071,0.00435,0.02808,0.00536,221,0,0,0,0,1,0,0,-77.86,-13.84,78.14,15.15,0,0,0,0
3,br3,bus1001,bus1071,0.00435,0.02808,0.00536,221,0,0,0,0,1,0,0,-77.86,-13.84,78.14,15.15,0,0,0,0
4,br4,bus1002,bus1007,0.07776,0.46693,0.06336,98,0,0,0,0,1,0,0,1.17,-5.01,-1.16,-1.51,0,0,0,0
5,br5,bus1010,bus1002,0.05552,0.1357,0.01777,98,0,0,0,0,1,0,0,16.73,-2.12,-16.58,0.65,0,0,0,0
6,br6,bus1004,bus1003,0.0045,0.11582,0,250,0,0,1,0,1,0,0,-28.27,4.89,28.3,-3.96,0,0,0,0
7,br7,bus1022,bus1003,0.00485,0.02012,0.00341,221,0,0,0,0,1,0,0,77.64,-2.39,-77.36,3.22,0,0,0,0
8,br8,bus1055,bus1003,0.01574,0.03782,0.00513,98,0,0,0,0,1,0,0,-48.68,-0.36,49.05,0.74,0,0,0,0
9,br9,bus1004,bus3133,0.0042,0.03,0.055,523,0,0,0,0,1,0,0,186.52,-35.27,-185.05,40.08,0,0,0,0
10,br10,bus1006,bus1005,0.00602,0.14707,0,42,0,0,1,0,1,0,0,25.73,-4.35,-25.69,5.36,0,0,0,0
11,br11,bus1025,bus1005,0.01842,0.0821,0.01204,149,0,0,0,0,1,0,0,42.41,3.81,-42.09,-3.6,0,0,0,0
12,br12,bus1005,bus1061,0.00599,0.02484,0.00422,221,0,0,0,0,1,0,0,76.04,-21.71,-75.67,22.82,0,0,0,0
13,br13,bus1067,bus1005,0.01711,0.04181,0.00548,98,0,0,0,0,1,0,0,8.35,-20.3,-8.27,19.95,0,0,0,0
14,br14,bus1007,bus1015,0.06224,0.37375,0.05072,98,0,0,0,0,1,0,0,-1.28,-2.92,1.28,-2.36,0,0,0,0
15,br15,bus1031,bus1007,0.04803,0.27434,0.04123,98,0,0,0,0,1,0,0,4.58,-5.76,-4.57,1.6,0,0,0,0
16,br16,bus1009,bus1008,0.00455,0.09471,0,120,0,0,1,0,1,0,0,61.87,-11.88,-61.69,15.57,0,0,0,0
17,br17,bus1008,bus1032,0.04501,0.11002,0.01441,98,0,0,0,0,1,0,0,57.62,-5.16,-56.18,7.23,0,0,0,0
18,br18,bus1008,bus1069,0.0083,0.03628,0.00553,149,0,0,0,0,1,0,0,4.07,-10.41,-4.06,9.88,0,0,0,0
19,br19,bus1011,bus1010,0.00721,0.3246,0,46,0,0,1,0,1,0,0,9.97,0,-9.97,0.31,0,0,0,0
20,br20,bus1010,bus1015,0.04703,0.28243,0.03833,98,0,0,0,0,1,0,0,8.82,-4.01,-8.79,0.23,0,0,0,0
21,br21,bus1010,bus1030,0.0616,0.3699,0.0502,98,0,0,0,0,1,0,0,-15.59,2.61,15.75,-6.84,0,0,0,0
22,br22,bus1012,bus1087,0.04934,0.20469,0.03473,149,0,0,0,0,1,0,0,-75.98,16.15,78.95,-7.39,0,0,0,0
23,br23,bus3051,bus1012,0.0571,0.24977,0.03804,149,0,0,0,0,1,0,0,-69.97,16.79,73,-7.38,0,0,0,0
24,br24,bus1013,bus1031,0.04509,0.27078,0.03675,98,0,0,0,0,1,0,0,13.92,-6.31,-13.83,3.14,0,0,0,0
25,br25,bus1047,bus1013,0.00947,0.06117,0.01167,221,0,0,0,0,1,0,0,58.82,-9.3,-58.49,10.26,0,0,0,0
26,br26,bus1086,bus1013,0.079,0.19311,0.02529,98,0,0,0,0,1,0,0,-15.06,10.33,15.34,-12.23,0,0,0,0
27,br27,bus1014,bus1047,0.03566,0.14794,0.0251,149,0,0,0,0,1,0,0,17.46,-0.42,-17.35,-1.69,0,0,0,0
28,br28,bus1014,bus1083,0.04105,0.18293,0.02682,149,0,0,0,0,1,0,0,-19.68,-0.21,19.83,-1.86,0,0,0,0
29,br29,bus1016,bus1034,0.01828,0.10976,0.01489,98,0,0,0,0,1,0,0,-16.46,14.09,16.54,-15.1,0,0,0,0
30,br30,bus1068,bus1016,0.02773,0.15837,0.0238,98,0,0,0,0,1,0,0,-13.44,-17.79,13.57,16.14,0,0,0,0
31,br31,bus1018,bus1017,0.03227,0.07887,0.01033,98,0,0,0,0,1,0,0,26.59,0.8,-26.35,-1.23,0,0,0,0
32,br32,bus1017,bus1029,0.03244,0.14188,0.02161,149,0,0,0,0,1,0,0,36.62,-22.52,-36.01,23.05,0,0,0,0
33,br33,bus1037,bus1017,0.00752,0.03352,0.00491,221,0,0,0,0,1,0,0,-57.38,-7.66,57.64,8.37,0,0,0,0
34,br34,bus1047,bus1017,0.036,0.156,0.024,150,0,0,0,0,1,0,0,89.08,-0.3,-86.25,10.19,0,0,0,0
35,br35,bus1024,bus1018,0.01094,0.06572,0.00892,98,0,0,0,0,1,0,0,26.73,0.41,-26.65,-0.81,0,0,0,0
36,br36,bus1019,bus1040,0.04978,0.20651,0.03504,149,0,0,0,0,1,0,0,-13.94,4.51,14.06,-7.51,0,0,0,0
37,br37,bus1019,bus1045,0.01522,0.0372,0.00487,221,0,0,0,0,1,0,0,104.91,17.93,-103.18,-14.19,0,0,0,0
38,br38,bus1019,bus1071,0.0044,0.028,0.0054,225,0,0,0,0,1,0,0,-43.91,51.51,44.11,-50.75,0,0,0,0
39,br39,bus1071,bus1019,0.0044,0.028,0.0054,225,0,0,0,0,1,0,0,44.11,-50.75,-43.91,51.51,0,0,0,0
40,br40,bus1019,bus1084,0.03,0.16,0.025,220,0,0,0,0,1,0,0,-64.93,-0.13,66.2,4.33,0,0,0,0
41,br41,bus1021,bus1020,0.00327,0.07812,0,250,0,0,1,0,1,0,0,149.63,-23.15,-148.88,41.06,0,0,0,0
42,br42,bus1025,bus1020,0.00828,0.03434,0.00583,149,0,0,0,0,1,0,0,50.37,-22.92,-50.13,23.32,0,0,0,0
43,br43,bus1084,bus1020,0.01056,0.06337,0.0086,221,0,0,0,0,1,0,0,-33.85,9.64,33.98,-9.78,0,0,0,0
44,br44,bus1020,bus3059,0.0189,0.06,0.006,300,0,0,0,0,1,0,0,63.28,1.57,-62.55,0.12,0,0,0,0
45,br45,bus1020,bus3130,0.00996,0.06938,0.01134,221,0,0,0,0,1,0,0,101.75,13.77,-100.74,-7.89,0,0,0,0
46,br46,bus1023,bus1022,0.00535,0.11733,0,250,0,0,1,0,1,0,0,135,2.26,-134.04,18.71,0,0,0,0
47,br47,bus1022,bus1028,0.01433,0.09253,0.01765,221,0,0,0,0,1,0,0,28.2,-8.16,-28.08,7.11,0,0,0,0
48,br48,bus1022,bus1028,0.01433,0.09253,0.01765,221,0,0,0,0,1,0,0,28.2,-8.16,-28.08,7.11,0,0,0,0
49,br49,bus1024,bus1090,0.01414,0.06303,0.00924,149,0,0,0,0,1,0,0,-89.77,-18.27,90.97,22.67,0,0,0,0
50,br50,bus1026,bus1025,0.0042,0.18046,0,200,0,0,1,0,1,0,0,93.15,-3.42,-92.79,19.1,0,0,0,0
