BUS_ID,Unnamed: 0,TYPE,PD,QD,GS,BS,AREA,VM,VA,BASEKV,ZONE,VMAX,VMIN,LAM_P,LAMQ,MU_VMAX,MU_VMIN,BUS_NAME,BUS_LOCATION,VOLL
bus1001,0,1,20.78,5.89,0,0,1,0.97944,-22.735,115,9,1.1,0.9,25.75,-3.48,0,0,ODESSA 2 0,ODESSA  ,2575
bus1002,1,1,15.41,4.37,0,0,1,1.0127,-18.089,115,9,1.1,0.9,84.21,0.49,0,0,PRESIDIO 2 0,PRESIDIO  ,8421
bus1003,2,1,0,0,0,0,1,1.0093,-17.087,115,9,1.1,0.9,-6.74,0.14,0,0,O DONNELL 1 0,O DONNELL  ,100
bus1004,3,2,0,0,0,0,1,1.0131,-18.934,230,9,1.1,0.9,-7.08,6.03,0,0,O DONNELL 1 1,O DONNELL  ,100
bus1005,4,1,0,0,0,0,1,1.0056,-16.077,115,9,1.1,0.9,-52.96,-29.63,0,0,BIG SPRING 5 0,BIG SPRING  ,100
bus1006,5,2,0,0,0,0,1,1,-13.906,13.8,9,1.1,0.9,-50.44,0,0,0,BIG SPRING 5 1,BIG SPRING  ,100
bus1007,6,1,7.01,1.99,0,-0.82,1,1.02,-18.467,115,9,1.1,0.9,73.76,0,0,0,VAN HORN 0,VAN HORN ,7376
bus1008,7,1,0,0,0,0,1,1.0193,-8.6052,115,9,1.1,0.9,-680.69,29.86,0,0,IRAAN 2 0,IRAAN  ,100
bus1009,8,2,0,0,0,0,1,1.0092,-5.3096,13.8,9,1.1,0.9,-680.32,29.76,0,0,IRAAN 2 1,IRAAN  ,100
bus1010,9,1,0,0,0,-3.07,1,1.02,-16.792,115,9,1.1,0.9,86.13,0,0,0,PRESIDIO 1 0,PRESIDIO  ,8613
bus1011,10,2,0,0,0,0,1,1.0202,-15.01,22,9,1.1,0.9,86.02,0,0,0,PRESIDIO 1 1,PRESIDIO  ,8602
bus1012,11,1,2.99,0.85,0,9.5,1,1.006,-25.343,115,9,1.1,0.9,-344.59,36.1,0,0,SANDERSON 0,SANDERSON ,100
bus1013,12,1,29.23,8.28,0,0,1,1.0057,-15.437,115,9,1.1,0.9,49.34,-0.98,0,0,MONAHANS 2 0,MONAHANS  ,4934
bus1014,13,1,2.22,0.63,0,0,1,1.0124,-11.913,115,9,1.1,0.9,71.89,-7.32,0,0,GRANDFALLS 0,GRANDFALLS ,7189
bus1015,14,1,7.51,2.13,0,0,1,1.0218,-18.215,115,9,1.1,0.9,81.09,-0.15,0,0,MARFA 0,MARFA ,8109
bus1016,15,1,2.89,0.82,0,30,1,1.0174,-15.485,115,9,1.1,0.9,-1.91,-27.33,0,0,GARDEN CITY 0,GARDEN CITY ,100
bus1017,16,1,18.34,5.2,0,0,1,0.98167,-21.426,115,9,1.1,0.9,26.56,-2.71,0,0,ODESSA 4 0,ODESSA  ,2656
bus1018,17,1,0.07,0.02,0,0,1,0.99115,-20.216,115,9,1.1,0.9,29.91,-2.15,0,0,NOTREES 0,NOTREES ,2991
bus1019,18,1,61.78,17.5,0,142.98,1,0.99949,-22.32,115,9,1.1,0.9,21.25,-3.6,0,0,MIDLAND 4 0,MIDLAND  ,2125
bus1020,19,1,0,0,0,67.23,1,1.02,-15.23,115,9,1.1,0.9,-53.97,0,0,0,BIG SPRING 1 0,BIG SPRING  ,100
bus1021,20,2,0,0,0,0,1,1,-8.6068,13.8,9,1.1,0.9,-52.36,0,0,0,BIG SPRING 1 1,BIG SPRING  ,100
bus1022,21,1,0,0,0,0,1,1.0124,-16.205,115,9,1.1,0.9,-6.07,0.19,0,0,O DONNELL 2 0,O DONNELL  ,100
bus1023,22,2,0,0,0,0,1,1.01,-7.3004,13.8,9,1.1,0.9,-5.92,0,0,0,O DONNELL 2 1,O DONNELL  ,100
bus1024,23,1,63.04,17.86,0,0,1,0.9945,-19.2,115,9,1.1,0.9,32.46,-0.99,0,0,ODESSA 6 0,ODESSA  ,3246
bus1025,24,1,0,0,0,0,1,1.0163,-14.17,115,9,1.1,0.9,-52.26,-11.84,0,0,BIG SPRINGS 0,BIG SPRINGS ,100
bus1026,25,2,0,0,0,0,1,1,-4.6415,13.8,9,1.1,0.9,-49.53,0,0,0,BIG SPRINGS 1,BIG SPRINGS ,100
bus1027,26,1,101.21,28.68,0,75,1,1.0053,-25.833,115,9,1.1,0.9,-5.64,-2.49,0,0,MIDLAND 2 0,MIDLAND  ,100
bus1028,27,1,10.01,2.84,0,0,1,1.0154,-17.717,115,9,1.1,0.9,-4.89,0.5,0,0,COAHOMA 0,COAHOMA ,100
bus1029,28,1,83.18,23.57,0,40,1,1.0024,-24.859,115,9,1.1,0.9,-0.15,-0.61,0,0,MIDLAND 3 0,MIDLAND  ,100
bus1030,29,1,24.63,6.98,0,0,1,1.0122,-13.411,115,9,1.1,0.9,99.16,-10.05,0,0,ALPINE 0,ALPINE ,9916
bus1031,30,1,9.25,2.62,0,0,1,1.0122,-17.672,115,9,1.1,0.9,61.74,-0.03,0,0,FORT DAVIS 0,FORT DAVIS ,6174
bus1032,31,1,0,0,0,0,1,1.0007,-12.28,115,9,1.1,0.9,132.88,-43.51,0,0,MCCAMEY 1 0,MCCAMEY  ,13288
bus1033,32,2,0,0,0,50,1,1.0168,-16.899,230,9,1.1,0.9,51.53,-22.14,0,0,MCCAMEY 1 1,MCCAMEY  ,5153
bus1034,33,1,0,0,0,0,1,1.0045,-14.32,115,9,1.1,0.9,-27.54,-36.49,0,0,BIG SPRING 4 0,BIG SPRING  ,100
bus1035,34,2,0,0,0,0,1,1,-11.03,13.8,9,1.1,0.9,-23.36,0,0,0,BIG SPRING 4 1,BIG SPRING  ,100
