Slot,hydro102,hydro103,hydro122,hydro123,hydro124,hydro199,hydro229,hydro230,hydro266,hydro267,hydro284,hydro285,hydro307,hydro308,hydro309,hydro310,hydro323,hydro324,hydro325,hydro326,hydro327,hydro328,hydro329,hydro330,hydro331,solar109,solar21,solar22,solar286,solar287,solar288,solar289,solar290,solar291,solar3,solar362,solar363,solar364,solar365,solar433,solar434,solar435,solar436,solar437,solar438,solar509,solar530,wind0,wind1,wind10,wind100,wind101,wind104,wind105,wind106,wind107,wind108,wind11,wind110,wind111,wind112,wind113,wind117,wind118,wind119,wind125,wind150,wind159,wind160,wind165,wind166,wind167,wind168,wind179,wind18,wind180,wind181,wind2,wind204,wind205,wind209,wind210,wind23,wind24,wind241,wind35,wind36,wind37,wind38,wind39,wind4,wind43,wind44,wind47,wind5,wind50,wind51,wind52,wind53,wind54,wind58,wind59,wind6,wind60,wind61,wind62,wind7,wind72,wind73,wind74,wind75,wind76,wind77,wind78,wind79,wind8,wind83,wind84,wind85,wind86,wind87,wind88,wind89,wind9,wind90,wind91,wind92,wind93,wind94,wind95,wind96,wind97,wind98,wind99
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001805267,7.46E-05,0.011133263,7.94E-05,0.000255683,0.000255264,0.000544936,0.000585546,0.001653993,0.000682077,0.000596756,0.000352909,0.000411826,0.000334402,0.000386375,0.000852181,0.001316149,0.001317944,0.000839101,0.001237423,0.001380751,0.003522574,102.2462731,6.170360344,73.19199519,45.10586494,109.2895247,61.31751589,18.48962528,39.53384815,34.65277064,40.59317106,33.33354755,88.9263327,44.15256432,58.60358795,39.31848597,26.61731524,31.94653755,13.64535905,21.74964696,11.36879052,19.797452,20.9066473,9.327469915,12.40313163,5.921207184,6.627479114,26.62791426,59.07610832,17.55618464,68.50421802,32.57727233,29.43749963,40.65435555,119.0972161,129.1362827,69.99306191,34.33697679,21.56159915,21.05999877,95.5697715,3.930656229,0.23435837,0.057652589,76.26598949,162.7559372,215.059977,57.745083,107.7283752,66.74874463,45.51783746,44.9454955,11.79528385,31.2211366,19.05327603,15.46780192,72.09088638,54.12944642,9.111006331,160.3481853,17.76646173,208.6146435,273.5579309,7.389679659,49.13310994,45.12648136,33.3186013,38.20392174,81.32182008,76.75545204,98.19738731,66.36816926,81.83586963,84.54809268,62.98603843,68.53752795,38.45679037,18.48142708,43.59781572,29.42700917,48.34177929,89.59322102,49.85550534,98.90255787,63.26258903,21.11043294,38.16829494,44.6742877
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001839322,7.00E-05,0.010972862,6.88E-05,0.000410825,0.000249644,0.000497523,0.000529125,0.001641341,0.000630258,0.0005035,0.000310272,0.000399249,0.000354397,0.000406624,0.000915896,0.001256709,0.001301705,0.000868317,0.001719567,0.001160206,0.004560612,111.9811074,11.84113724,67.67222536,40.65062686,114.7856951,53.07467572,25.44618474,37.67369133,30.3982632,34.50903694,30.98462324,78.08462168,53.79547078,61.65044174,40.58863846,36.31794581,32.31200268,16.0108796,26.8019324,10.60377176,16.34584815,18.68748577,8.96935143,14.1761486,5.365193203,8.736020043,20.45738376,60.18952542,17.42829341,64.30405701,31.0351624,34.13003133,48.16436625,124.5120686,128.4333274,77.99029958,40.23961549,24.80064337,21.36867895,91.89899023,3.638455852,0.195031748,0.045577692,99.99755509,148.9046068,256.9653189,51.72211023,98.74088487,54.92061558,37.28048081,64.22036573,12.41672324,25.42985015,24.78064004,13.988238,75.16125289,72.27594148,7.414946595,129.4985188,14.98437592,166.3460753,209.8839759,11.6919569,45.65185143,42.23758896,34.97227969,43.6681669,75.22053571,67.36462736,107.3359465,71.75287812,73.73507262,85.92928123,65.75928303,62.8272992,43.3676075,21.59927711,46.07298541,25.91250027,41.66811649,74.68962274,45.11686585,81.49115566,71.04594687,30.68104731,43.6521162,36.31884255
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001873376,6.53E-05,0.010812461,5.82E-05,0.000565968,0.000244024,0.00045011,0.000472703,0.001628688,0.00057844,0.000410243,0.000267634,0.000386671,0.000374392,0.000426873,0.000979611,0.001197268,0.001285465,0.000897534,0.002201711,0.000939662,0.005598649,121.7159416,17.51191414,62.15245552,36.19538879,120.2818656,44.83183555,32.40274419,35.81353452,26.14375575,28.42490281,28.63569893,67.24291065,63.43837724,64.69729554,41.85879095,46.01857637,32.67746781,18.37640014,31.85421783,9.838752997,12.89424431,16.46832423,8.611232946,15.94916557,4.809179223,10.84456097,14.28685327,61.30294251,17.30040219,60.10389599,29.49305248,38.82256303,55.67437696,129.9269211,127.730372,85.98753724,46.1422542,28.03968759,21.67735913,88.22820895,3.346255476,0.155705125,0.033502794,123.7291207,135.0532763,298.8706608,45.69913747,89.75339453,43.09248652,29.04312417,83.49523597,13.03816262,19.6385637,30.50800406,12.50867408,78.23161939,90.42243654,5.71888686,98.64885232,12.20229011,124.077507,146.210021,15.99423414,42.17059292,39.34869656,36.62595809,49.13241205,69.11925134,57.97380268,116.4745057,77.13758698,65.63427562,87.31046978,68.53252764,57.11707046,48.27842463,24.71712713,48.5481551,22.39799136,34.99445369,59.78602447,40.37822635,64.07975345,78.82930471,40.25166169,49.13593746,27.96339741
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001907431,6.07E-05,0.01065206,4.76E-05,0.00072111,0.000238404,0.000402697,0.000416282,0.001616036,0.000526621,0.000316987,0.000224997,0.000374094,0.000394387,0.000447122,0.001043326,0.001137828,0.001269226,0.00092675,0.002683855,0.000719117,0.006636687,131.4507759,23.18269104,56.63268569,31.74015071,125.778036,36.58899538,39.35930365,33.9533777,21.88924831,22.34076869,26.28677462,56.40119963,73.0812837,67.74414933,43.12894344,55.71920694,33.04293294,20.74192069,36.90650327,9.073734236,9.442640461,14.2491627,8.253114461,17.72218254,4.253165242,12.9531019,8.116322772,62.41635961,17.17251096,55.90373498,27.95094255,43.51509473,63.18438766,135.3417736,127.0274167,93.98477491,52.0448929,31.27873181,21.98603931,84.55742768,3.054055099,0.116378503,0.021427897,147.4606863,121.2019459,340.7760027,39.6761647,80.7659042,31.26435747,20.80576752,102.7701062,13.65960201,13.84727725,36.23536807,11.02911016,81.3019859,108.5689316,4.022827124,67.79918583,9.420204299,81.80893878,82.53606598,20.29651138,38.68933441,36.45980416,38.27963648,54.59665721,63.01796697,48.582978,125.6130649,82.52229584,57.53347861,88.69165833,71.30577224,51.40684171,53.18924176,27.83497716,51.02332479,18.88348246,28.32079089,44.88242619,35.63958686,46.66835124,86.61266255,49.82227606,54.61975872,19.60795226
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001757458,5.46E-05,0.010539031,4.63E-05,0.001161462,0.000243978,0.000500716,0.000519245,0.001596256,0.000564098,0.000580223,0.000341427,0.000382703,0.000342326,0.000379658,0.001128258,0.001256682,0.001057978,0.001111241,0.002504988,0.000865286,0.005924595,113.0003865,22.5708299,53.61957148,32.20634675,109.4381512,39.04738103,37.10985203,29.9426306,21.51744158,26.07346149,28.92650155,55.94403805,56.01871523,58.17325315,33.33011516,45.40330269,30.86969436,23.31087861,34.04562939,9.22539977,9.756649964,17.26580084,13.4324416,16.70318674,6.637181958,15.69945861,16.60665742,67.4023399,15.31983932,57.36354099,24.09090671,36.33561428,81.52959261,132.7492189,126.1310309,104.6209825,48.27471426,25.48252647,26.05619295,74.0010203,2.991090112,0.158198115,0.026237077,133.374029,113.131585,281.2856142,41.09049235,87.06549723,45.41446519,34.42100776,104.9319579,12.38595895,13.54167406,36.80782825,9.602043722,77.62765651,100.5066559,5.304968196,84.63989362,10.54770673,97.02985662,141.6538129,16.66259484,52.75806593,29.66178975,39.8103645,58.51251972,66.55168375,45.6573389,110.5212425,104.6556193,60.06391869,101.6640747,65.49554557,71.21724614,49.19402569,27.89442386,42.4195596,19.83056953,32.12260405,53.51329062,43.7850167,52.3796614,87.05165983,40.13740273,48.16991673,23.70744481
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001607484,4.84E-05,0.010426003,4.50E-05,0.001601814,0.000249551,0.000598736,0.000622208,0.001576477,0.000601575,0.000843459,0.000457858,0.000391311,0.000290264,0.000312195,0.00121319,0.001375536,0.000846729,0.001295732,0.002326122,0.001011456,0.005212504,94.54999701,21.95896876,50.60645726,32.67254279,93.09826649,41.50576667,34.86040042,25.9318835,21.14563486,29.8061543,31.56622849,55.48687646,38.95614676,48.60235698,23.53128689,35.08739844,28.69645579,25.87983653,31.18475551,9.377065303,10.07065947,20.28243897,18.61176874,15.68419095,9.021198674,18.44581532,25.09699207,72.38832019,13.46716769,58.823347,20.23087087,29.15613384,99.87479755,130.1566643,125.2346451,115.25719,44.50453561,19.68632114,30.12634659,63.44461292,2.928125125,0.200017728,0.031046257,119.2873717,105.061224,221.7952258,42.50482001,93.36509027,59.5645729,48.03624801,107.0938095,11.11231589,13.23607087,37.38028842,8.174977284,73.95332712,92.44438023,6.587109267,101.4806014,11.67520917,112.2507745,200.7715597,13.02867829,66.82679745,22.86377533,41.34109253,62.42838223,70.08540054,42.73169981,95.42942003,126.7889428,62.59435877,114.636491,59.68531889,91.02765057,45.19880963,27.95387055,33.81579442,20.7776566,35.92441721,62.14415505,51.93044655,58.09097155,87.4906571,30.45252939,41.72007473,27.80693736
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001457511,4.23E-05,0.010312974,4.37E-05,0.002042166,0.000255125,0.000696755,0.000725171,0.001556697,0.000639052,0.001106695,0.000574288,0.00039992,0.000238203,0.000244731,0.001298122,0.00149439,0.000635481,0.001480223,0.002147255,0.001157625,0.004500412,76.09960757,21.34710762,47.59334305,33.13873883,76.75838173,43.96415232,32.6109488,21.9211364,20.77382813,33.5388471,34.20595542,55.02971488,21.89357829,39.0314608,13.73245861,24.77149419,26.52321721,28.44879445,28.32388163,9.528730837,10.38466897,23.29907711,23.79109588,14.66519515,11.40521539,21.19217203,33.58732672,77.37430048,11.61449605,60.28315301,16.37083503,21.97665339,118.2200025,127.5641096,124.3382593,125.8933976,40.73435697,13.8901158,34.19650023,52.88820554,2.865160138,0.24183734,0.035855437,105.2007144,96.99086311,162.3048373,43.91914766,99.6646833,73.71468062,61.65148825,109.2556612,9.838672828,12.93046768,37.9527486,6.747910846,70.27899773,84.38210454,7.869250339,118.3213092,12.8027116,127.4716923,259.8893066,9.394761747,80.89552897,16.06576092,42.87182055,66.34424474,73.61911732,39.80606071,80.33759759,148.9222663,65.12479885,127.6089073,53.87509222,110.838055,41.20359356,28.01331725,25.21202923,21.72474367,39.72623037,70.77501948,60.07587639,63.80228171,87.92965438,20.76765606,35.27023274,31.90642991
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001392809,6.50E-05,0.010917468,5.36E-05,0.001822788,0.000291217,0.000617334,0.000704743,0.001631427,0.000546852,0.001184966,0.000475558,0.000376473,0.000243867,0.000246127,0.001111943,0.001326859,0.000830239,0.001339055,0.001780499,0.001116364,0.004520194,81.70916555,20.26405386,48.82063165,37.52009276,91.72056225,51.04690617,30.07567487,18.26029979,24.22215112,44.14028697,31.4222319,48.28393473,15.40365707,39.19934629,30.56441165,30.71009885,33.88931214,23.68181927,27.77933525,8.915409001,11.11496248,23.78176356,19.90169776,13.75461388,10.61233288,22.32579474,28.98834311,69.64887136,13.895562,56.33859463,23.52049286,24.19744868,100.3949495,116.9282831,125.0112173,106.2981693,50.61994019,16.16643686,29.02302093,46.48431062,2.760478711,0.190651391,0.035059444,111.3953611,116.3370043,181.4657517,56.28402118,88.66600897,66.5770175,56.27414547,99.18364204,11.21585333,18.56936529,42.64884045,6.990691398,75.962188,81.61579614,8.435104464,119.7972641,11.31857144,110.9831946,248.9528235,9.381858265,87.00153445,26.66113939,36.3593972,63.36773312,76.96323803,43.92221255,67.85250182,127.7483989,72.93248389,109.763197,57.86812021,94.47144904,52.67741607,27.29947124,26.93037052,20.81955431,42.53177546,74.3736531,51.41150562,83.97954314,79.47691717,22.68527278,35.26727013,30.57787905
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001328106,8.77E-05,0.011521962,6.35E-05,0.001603409,0.000327309,0.000537913,0.000684316,0.001706157,0.000454651,0.001263237,0.000376827,0.000353026,0.000249532,0.000247524,0.000925763,0.001159328,0.001024997,0.001197887,0.001413743,0.001075103,0.004539977,87.31872353,19.1810001,50.04792025,41.90144669,106.6827428,58.12966002,27.54040094,14.59946318,27.6704741,54.74172684,28.63850837,41.53815459,8.913735845,39.36723178,47.39636469,36.64870351,41.25540706,18.91484408,27.23478887,8.302087166,11.845256,24.26445001,16.01229963,12.84403261,9.819450377,23.45941745,24.3893595,61.92344225,16.17662796,52.39403625,30.67015069,26.41824398,82.56989657,106.2924565,125.6841754,86.70294098,60.50552342,18.44275791,23.84954162,40.08041571,2.655797284,0.139465441,0.03426345,117.5900077,135.6831456,200.6266662,68.64889469,77.66733464,59.43935439,50.89680268,89.11162287,12.59303383,24.20826289,47.34493229,7.23347195,81.64537827,78.84948774,9.00095859,121.2732191,9.834431274,94.49469697,238.0163405,9.368954784,93.10753994,37.25651787,29.84697386,60.39122151,80.30735874,48.03836439,55.36740604,106.5745314,80.74016894,91.91748671,61.86114821,78.10484309,64.15123858,26.58562523,28.6487118,19.91436496,45.33732055,77.97228672,42.74713486,104.1568046,71.02417996,24.60288949,35.26430751,29.24932819
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001263404,0.00011047,0.012126456,7.34E-05,0.001384031,0.000363401,0.000458492,0.000663888,0.001780887,0.000362451,0.001341508,0.000278097,0.000329579,0.000255196,0.00024892,0.000739584,0.000991797,0.001219755,0.001056719,0.001046987,0.001033842,0.004559759,92.92828151,18.09794634,51.27520885,46.28280062,121.6449233,65.21241387,25.00512701,10.93862657,31.11879709,65.34316671,25.85478485,34.79237444,2.423814622,39.53511727,64.22831773,42.58730817,48.62150199,14.1478689,26.69024249,7.68876533,12.57554951,24.74713646,12.12290151,11.93345134,9.02656787,24.59304016,19.79037589,54.19801313,18.45769391,48.44947787,37.81980852,28.63903927,64.74484361,95.65662997,126.3571334,67.10771267,70.39110664,20.71907897,18.67606232,33.67652079,2.551115857,0.088279492,0.033467457,123.7846544,155.0292868,219.7875806,81.01376821,66.66866031,52.30169127,45.5194599,79.03960371,13.97021433,29.8471605,52.04102414,7.476252502,87.32856854,76.08317934,9.566812715,122.749174,8.350291111,78.00619931,227.0798574,9.356051302,99.21354542,47.85189634,23.33455051,57.41470989,83.65147945,52.15451623,42.88231027,85.40066397,88.54785398,74.07177641,65.8541762,61.73823713,75.62506109,25.87177922,30.36705309,19.0091756,48.14286564,81.57092034,34.08276409,124.334066,62.57144275,26.52050621,35.2613449,27.92077733
