,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX,MU_PMIN,MU_QMAX,MU_QMIN,COST_0,COST_1,COST_2,COST_3,COST_4,COST_5,COST_6,COST_7,COST_8,COST_9,COST_10,COST_11,FUEL_TYPE,GEN_TYPE,MINIMUM_UP_TIME,MINIMUM_DOWN_TIME,STARTUP_RAMP,SHUTDOWN_RAMP,RESERVE_PRICE,REGULATION_PRICE,VOM,STARTUP,SHUTDOWN,RAMP_COST
wind0,bus1004,158.25,-30.38,44.94,-30.38,1.01,253.2,1,158.25,158.25,0,0,0,0,0,0,0,158.25,0,0,211,0,0,0,0,158.25,0,158.25,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,158.25,158.25,2,1.5,1.91,5,2,0
wind1,bus1006,25.73,-4.35,7.31,-4.94,1,41.16,1,25.73,25.73,0,0,0,0,0,0,0,25.73,0,0,34.3,0,0,0,0,25.73,0,25.73,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,25.73,25.73,2,1.5,1.91,5,2,0
wind2,bus1009,61.87,-11.88,17.57,-11.88,1,99,1,61.87,61.87,0,0,0,0,0,0,0,61.87,0,0,82.5,0,0,0,0,61.87,0,61.87,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,61.87,61.87,2,1.5,1.91,5,2,0
solar3,bus1011,9.97,0,0,0,1,12,1,10,3,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,solar,Renewable,3,2,4,4,2,1.5,1.91,5,2,0
wind4,bus1021,149.63,-23.15,42.49,-28.73,1,239.4,1,149.63,149.63,0,0,0,0,0,0,0,149.63,0,0,199.5,0,0,0,0,149.63,0,149.63,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,149.63,149.63,2,1.5,1.91,5,2,0
wind5,bus1023,135,2.26,38.34,-25.92,1.01,216,1,135,135,0,0,0,0,0,0,0,135,0,0,180,0,0,0,0,135,0,135,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,135,135,2,1.5,1.91,5,2,0
wind6,bus1026,93.15,-3.42,26.45,-17.88,1,149.04,1,93.15,93.15,0,0,0,0,0,0,0,93.15,0,0,124.2,0,0,0,0,93.15,0,93.15,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,93.15,93.15,2,1.5,1.91,5,2,0
wind7,bus1033,208.5,-40.03,59.21,-40.03,1,333.6,1,208.5,208.5,0,0,0,0,0,0,0,208.5,0,0,278,0,0,0,0,208.5,0,208.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,208.5,208.5,2,1.5,1.91,5,2,0
wind8,bus1035,67.5,-6.87,19.17,-12.96,1,108,1,67.5,67.5,0,0,0,0,0,0,0,67.5,0,0,90,0,0,0,0,67.5,0,67.5,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,67.5,67.5,2,1.5,1.91,5,2,0
wind9,bus1039,110.63,-16.65,31.42,-21.24,1,177,1,110.63,110.63,0,0,0,0,0,0,0,110.63,0,0,147.5,0,0,0,0,110.63,0,110.63,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,110.63,110.63,2,1.5,1.91,5,2,0
wind10,bus1042,0,0,25.96,-17.55,1,146.28,1,121.9,36.57,0,0,0,0,0,0,0,121.9,0,0,121.9,0,0,0,0,36.57,0,121.9,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,48.76,48.76,2,1.5,1.91,5,2,0
wind11,bus1043,44.1,-1.16,12.52,-8.47,1,70.56,1,44.1,44.1,0,0,0,0,0,0,0,44.1,0,0,58.8,0,0,0,0,44.1,0,44.1,0,0,0,0,0,0,0,0,0,wind,Renewable,3,2,44.1,44.1,2,1.5,1.91,5,2,0
ng12,bus1048,0,0,165.53,-36.1,1,390.24,1,325.2,97.56,0,0,0,0,0,0,0,325.2,0,0,325.2,0,0,0,0,97.56,1951.2,325.2,5331.23724,0,0,0,0,0,0,0,0,ng,Thermal,3,2,130.08,130.08,2,1.5,1.91,5,2,1.478322796
ng13,bus1049,0,0,165.53,-36.1,1,390.24,1,325.2,97.56,0,0,0,0,0,0,0,325.2,0,0,325.2,0,0,0,0,97.56,1951.2,325.2,5331.23724,0,0,0,0,0,0,0,0,ng,Thermal,3,2,130.08,130.08,2,1.5,1.91,5,2,1.478322796
ng14,bus1050,89.15,-4.14,45.5,-9.92,1,107.28,1,89.4,26.82,0,0,0,0,0,0,0,89.4,0,0,89.4,0,0,0,0,26.82,536.4,89.4,1826.99712,0,0,0,0,0,0,0,0,ng,Thermal,3,2,35.76,35.76,2,1.5,1.91,5,2,2.029879081
