Slot,hydro102,hydro103,hydro122,hydro123,hydro124,hydro199,hydro229,hydro230,hydro266,hydro267,hydro284,hydro285,hydro307,hydro308,hydro309,hydro310,hydro323,hydro324,hydro325,hydro326,hydro327,hydro328,hydro329,hydro330,hydro331,solar109,solar21,solar22,solar286,solar287,solar288,solar289,solar290,solar291,solar3,solar362,solar363,solar364,solar365,solar433,solar434,solar435,solar436,solar437,solar438,solar509,solar530,wind0,wind1,wind10,wind100,wind101,wind104,wind105,wind106,wind107,wind108,wind11,wind110,wind111,wind112,wind113,wind117,wind118,wind119,wind125,wind150,wind159,wind160,wind165,wind166,wind167,wind168,wind179,wind18,wind180,wind181,wind2,wind204,wind205,wind209,wind210,wind23,wind24,wind241,wind35,wind36,wind37,wind38,wind39,wind4,wind43,wind44,wind47,wind5,wind50,wind51,wind52,wind53,wind54,wind58,wind59,wind6,wind60,wind61,wind62,wind7,wind72,wind73,wind74,wind75,wind76,wind77,wind78,wind79,wind8,wind83,wind84,wind85,wind86,wind87,wind88,wind89,wind9,wind90,wind91,wind92,wind93,wind94,wind95,wind96,wind97,wind98,wind99
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001805267,7.46E-05,0.011133263,7.94E-05,0.000255683,0.000255264,0.000544936,0.000585546,0.001653993,0.000682077,0.000596756,0.000352909,0.000411826,0.000334402,0.000386375,0.000852181,0.001316149,0.001317944,0.000839101,0.001237423,0.001380751,0.003522574,102.2462731,6.170360344,73.19199519,45.10586494,109.2895247,61.31751589,18.48962528,39.53384815,34.65277064,40.59317106,33.33354755,88.9263327,44.15256432,58.60358795,39.31848597,26.61731524,31.94653755,13.64535905,21.74964696,11.36879052,19.797452,20.9066473,9.327469915,12.40313163,5.921207184,6.627479114,26.62791426,59.07610832,17.55618464,68.50421802,32.57727233,29.43749963,40.65435555,119.0972161,129.1362827,69.99306191,34.33697679,21.56159915,21.05999877,95.5697715,3.930656229,0.23435837,0.057652589,76.26598949,162.7559372,215.059977,57.745083,107.7283752,66.74874463,45.51783746,44.9454955,11.79528385,31.2211366,19.05327603,15.46780192,72.09088638,54.12944642,9.111006331,160.3481853,17.76646173,208.6146435,273.5579309,7.389679659,49.13310994,45.12648136,33.3186013,38.20392174,81.32182008,76.75545204,98.19738731,66.36816926,81.83586963,84.54809268,62.98603843,68.53752795,38.45679037,18.48142708,43.59781572,29.42700917,48.34177929,89.59322102,49.85550534,98.90255787,63.26258903,21.11043294,38.16829494,44.6742877
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001907431,6.07E-05,0.01065206,4.76E-05,0.00072111,0.000238404,0.000402697,0.000416282,0.001616036,0.000526621,0.000316987,0.000224997,0.000374094,0.000394387,0.000447122,0.001043326,0.001137828,0.001269226,0.00092675,0.002683855,0.000719117,0.006636687,131.4507759,23.18269104,56.63268569,31.74015071,125.778036,36.58899538,39.35930365,33.9533777,21.88924831,22.34076869,26.28677462,56.40119963,73.0812837,67.74414933,43.12894344,55.71920694,33.04293294,20.74192069,36.90650327,9.073734236,9.442640461,14.2491627,8.253114461,17.72218254,4.253165242,12.9531019,8.116322772,62.41635961,17.17251096,55.90373498,27.95094255,43.51509473,63.18438766,135.3417736,127.0274167,93.98477491,52.0448929,31.27873181,21.98603931,84.55742768,3.054055099,0.116378503,0.021427897,147.4606863,121.2019459,340.7760027,39.6761647,80.7659042,31.26435747,20.80576752,102.7701062,13.65960201,13.84727725,36.23536807,11.02911016,81.3019859,108.5689316,4.022827124,67.79918583,9.420204299,81.80893878,82.53606598,20.29651138,38.68933441,36.45980416,38.27963648,54.59665721,63.01796697,48.582978,125.6130649,82.52229584,57.53347861,88.69165833,71.30577224,51.40684171,53.18924176,27.83497716,51.02332479,18.88348246,28.32079089,44.88242619,35.63958686,46.66835124,86.61266255,49.82227606,54.61975872,19.60795226
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001457511,4.23E-05,0.010312974,4.37E-05,0.002042166,0.000255125,0.000696755,0.000725171,0.001556697,0.000639052,0.001106695,0.000574288,0.00039992,0.000238203,0.000244731,0.001298122,0.00149439,0.000635481,0.001480223,0.002147255,0.001157625,0.004500412,76.09960757,21.34710762,47.59334305,33.13873883,76.75838173,43.96415232,32.6109488,21.9211364,20.77382813,33.5388471,34.20595542,55.02971488,21.89357829,39.0314608,13.73245861,24.77149419,26.52321721,28.44879445,28.32388163,9.528730837,10.38466897,23.29907711,23.79109588,14.66519515,11.40521539,21.19217203,33.58732672,77.37430048,11.61449605,60.28315301,16.37083503,21.97665339,118.2200025,127.5641096,124.3382593,125.8933976,40.73435697,13.8901158,34.19650023,52.88820554,2.865160138,0.24183734,0.035855437,105.2007144,96.99086311,162.3048373,43.91914766,99.6646833,73.71468062,61.65148825,109.2556612,9.838672828,12.93046768,37.9527486,6.747910846,70.27899773,84.38210454,7.869250339,118.3213092,12.8027116,127.4716923,259.8893066,9.394761747,80.89552897,16.06576092,42.87182055,66.34424474,73.61911732,39.80606071,80.33759759,148.9222663,65.12479885,127.6089073,53.87509222,110.838055,41.20359356,28.01331725,25.21202923,21.72474367,39.72623037,70.77501948,60.07587639,63.80228171,87.92965438,20.76765606,35.27023274,31.90642991
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001263404,0.00011047,0.012126456,7.34E-05,0.001384031,0.000363401,0.000458492,0.000663888,0.001780887,0.000362451,0.001341508,0.000278097,0.000329579,0.000255196,0.00024892,0.000739584,0.000991797,0.001219755,0.001056719,0.001046987,0.001033842,0.004559759,92.92828151,18.09794634,51.27520885,46.28280062,121.6449233,65.21241387,25.00512701,10.93862657,31.11879709,65.34316671,25.85478485,34.79237444,2.423814622,39.53511727,64.22831773,42.58730817,48.62150199,14.1478689,26.69024249,7.68876533,12.57554951,24.74713646,12.12290151,11.93345134,9.02656787,24.59304016,19.79037589,54.19801313,18.45769391,48.44947787,37.81980852,28.63903927,64.74484361,95.65662997,126.3571334,67.10771267,70.39110664,20.71907897,18.67606232,33.67652079,2.551115857,0.088279492,0.033467457,123.7846544,155.0292868,219.7875806,81.01376821,66.66866031,52.30169127,45.5194599,79.03960371,13.97021433,29.8471605,52.04102414,7.476252502,87.32856854,76.08317934,9.566812715,122.749174,8.350291111,78.00619931,227.0798574,9.356051302,99.21354542,47.85189634,23.33455051,57.41470989,83.65147945,52.15451623,42.88231027,85.40066397,88.54785398,74.07177641,65.8541762,61.73823713,75.62506109,25.87177922,30.36705309,19.0091756,48.14286564,81.57092034,34.08276409,124.334066,62.57144275,26.52050621,35.2613449,27.92077733
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002792124,0.000104493,0.011039577,5.74E-05,0.001223756,0.000397979,0.00035025,0.00059073,0.001722801,0.000377867,0.002004333,0.000325412,0.000355224,0.000165625,0.000274645,0.001307838,0.001036532,0.001350355,0.001459487,0.002554266,0.001629401,0.003942746,93.53711701,17.93210463,76.90276643,11.98231352,133.995304,77.31429567,20.98887375,41.91497335,7.245192545,68.35462111,24.00329681,72.88972008,108.1632482,62.09170143,64.41943261,26.40970858,33.11551206,23.44986639,21.67904313,10.86058704,9.578298517,13.89555815,25.86193377,27.22245163,10.11397447,25.57723565,20.18067935,104.9758764,13.28236008,51.32609225,21.39061467,42.32224796,73.90967071,130.1285723,156.2215283,36.49376259,33.52219232,44.43505716,16.43227625,57.70828243,3.275303317,0.169612473,0.017742168,106.2941343,156.1929397,109.9658557,64.38130978,87.83654182,38.76246037,38.62852901,135.0764973,13.84327808,34.93741502,35.13145096,10.7370606,45.54176981,60.63090068,4.594432602,96.05914972,8.854003056,139.1498873,121.945963,26.6479246,81.57573698,19.23731568,55.12669962,51.05088641,72.49476388,61.45322131,99.7823834,113.6326081,81.07866989,102.9208772,56.66617476,71.81628399,55.76640034,24.50949252,63.88412759,27.52274161,43.44783708,103.1767586,54.95679149,88.28507183,58.51728476,39.39687125,21.3463309,48.74863471
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001881444,9.75E-05,0.012418612,6.50E-05,0.001268658,0.000165656,0.000240552,0.000612428,0.001154861,0.00053618,0.001455494,0.000319392,0.000474382,0.000228188,0.000312391,0.000659392,0.00099179,0.000970632,0.001032562,0.000849473,0.001365325,0.002217008,69.47736243,15.85315551,47.79439339,40.68018659,115.2341296,55.57802429,35.2345916,19.1611642,32.60806995,38.96882341,16.70638378,84.89726056,37.91678797,50.25800402,50.07849769,30.65408266,20.88559747,20.32488127,16.57612624,6.877354966,21.84151151,5.6301008,25.62244018,16.67313531,9.890543067,12.05148551,18.04422698,39.78205806,12.50842479,52.63404149,27.32560915,36.30327641,62.95014371,41.79292046,121.4827521,49.44101576,63.62225016,37.24184399,35.42246884,65.68794972,1.471619763,0.223915313,0.023681699,103.6290437,144.8716621,145.8216438,58.68340525,108.780931,74.45306795,58.57034105,50.2238809,15.28010409,22.6259209,64.19945897,14.30922079,100.0035432,79.63322671,7.351432623,74.76799006,10.159811,124.5276751,110.3219006,30.62825479,64.23924193,37.38578504,26.60294817,28.91539498,66.85525327,48.28626198,96.53223928,84.10644784,117.5844086,66.54975698,57.7789298,61.2724438,33.52397778,23.1223038,62.32311914,54.09829618,51.27219414,142.2784053,42.55724717,114.0959313,59.23910372,54.69545953,36.87419918,31.50408634
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.02852055,12.70311414,67.41265586,46.52577113,55.41082958,44.11638822,43.42698245,25.33276029,20.39978968,64.94496503,14.43423902,106.3070371,61.2499301,95.70586699,32.7856672,67.70071136,65.01715381,25.10357102,35.26805745,4.773976144,10.13637342,16.85503929,17.17010447,18.82132887,9.09814514,27.47905385,20.28922079,19.21281399,15.28258984,60.95327379,46.69224869,42.56138536,104.0262508,122.9314759,140.800872,46.17852559,47.29723694,17.34672276,28.00922505,39.46395228,3.498079706,0,0,66.68925115,172.7371088,199.2541065,50.76309572,49.09011713,38.83726638,60.25728389,74.61167492,6.122113361,23.05274496,52.17980034,8.4351235,25.57006793,95.70096892,6.465482321,60.71209093,14.54682265,133.4893887,249.400107,20.63460925,82.98946482,34.29476996,29.72422369,95.29267595,101.5431019,20.51940996,129.1132681,71.60022866,62.08546193,43.62330181,75.59473434,78.77427549,88.04104151,17.16981032,82.58426839,38.67574204,110.4412249,80.22870813,16.01096107,94.15425353,84.92830794,72.89594267,46.56728015,21.27250954
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.73764178,10.36435801,57.81641873,33.72125751,41.40526185,20.92116029,39.74077436,32.44133954,14.93924659,32.82361696,19.61328228,112.7043381,58.01751806,56.20261602,53.34090795,39.68174914,44.93900919,21.59728637,14.45507471,7.273603873,17.56200547,19.95494805,20.43931865,22.58268713,10.91613279,14.82870233,28.3382692,16.67995865,11.33118518,53.72293052,52.59858288,33.61347156,77.09201444,104.9251808,89.2325158,45.656899,95.31287481,19.8053389,22.45561087,57.938277,3.496141789,0,0,65.49207397,205.436866,182.548399,49.00474901,44.13645126,71.31115702,39.81254928,115.847924,3.819930866,20.02415794,25.5721073,8.335077765,52.29134828,85.76432361,3.361892804,75.19539895,5.141452915,183.9463738,137.5974526,20.45803049,38.43343628,41.02972581,39.40669838,39.16065336,115.2625653,28.1632384,137.4470207,99.26607824,116.6747238,33.51078221,37.45219196,52.0767494,86.62166361,26.07968133,100.3476225,38.90023934,92.04581336,42.20479406,23.23817376,76.22239052,88.10676144,44.19697148,51.68608817,33.07503032
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.19600868,15.0363664,40.58752981,23.80605912,51.9404518,44.33277076,33.95712419,34.99447199,15.33128412,53.27707995,26.85460346,101.0227437,70.8222147,76.52849156,35.36374588,59.35566972,53.3799723,11.81890526,22.45847546,10.89441852,13.64188533,16.88100497,13.80282383,32.91404428,14.61736579,23.28037855,17.37669646,16.46402448,16.63210378,84.74727339,51.85843919,27.55901099,74.85198197,145.2060337,53.48717061,60.4497704,49.36862442,14.99009525,33.41794625,25.19569299,3.539317134,0,0,75.68159083,159.1016961,214.7151856,83.17780356,46.03719917,67.31683594,26.47395976,42.59409133,19.67126577,12.50164495,55.22653616,9.48896829,41.67272316,52.87407327,6.252989664,53.59090667,13.83200169,126.195473,213.6713679,27.35651456,64.32773375,32.6484707,42.74433016,50.71895923,135.5980264,43.46419846,169.4289602,75.58824867,79.90008232,67.33922374,96.50324459,88.12382156,33.46928775,17.6339851,46.00359054,49.40594155,68.49426436,104.9751812,49.89717993,82.37415715,53.37810366,63.19238948,61.62412796,37.12115998
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.95956302,6.847560407,76.73762791,45.5289084,57.00269923,34.13230269,22.98371732,29.97774993,28.73360116,39.82241719,11.85473409,95.56674751,40.09107503,56.7062638,49.59535001,28.33398806,52.37592775,7.129675119,27.0532024,9.289098306,9.682812937,16.53908495,22.66108881,30.862602,10.7360157,26.68695041,20.92478267,16.14964484,18.56726562,68.25338268,41.59757013,39.44713756,72.18737026,169.2979046,89.46040295,64.9575738,26.17369138,14.84864132,15.61696038,36.26159872,4.270925276,0,0,89.94117259,203.7557409,228.6702061,54.18349248,83.38067878,92.34635339,66.79862033,119.64988,12.66742677,23.23497128,52.8219758,7.752188019,77.80107744,75.60770993,6.142959663,55.29249958,9.900531274,144.1257697,212.791235,21.49094972,64.40608018,47.27278108,41.97037541,58.46992555,142.8428092,13.02891296,99.55217927,47.18046673,48.4159559,97.93592391,44.52258916,26.67430556,69.72593364,20.39378839,77.10587878,33.69714613,108.9306637,46.13864812,21.145291,119.5344127,85.74574126,30.36553915,68.96128476,32.42472214
